OUTofCAGE, 58640512, 45330952, 4008066, 6764631, 43365204, 21694795
HQ_Silverback_, 34167819, 8175452, 1508, 1055079, 36178212, 27085420
hQ_RedBeard_, 88064063, 39383243, 400656, 4440142, 31939610, 18706783
HQ_AMs_Landlord, 33494053, 6144955, 153283, 3657070, 60579400, 74016405
HQ_Boxerqueen, 26939163, 6891605, 8730, 1502893, 38813271, 20844669
HQ_BDAWG24, 160306990, 108707814, 2921516, 5797011, 94293889, 114074178
HQ_philrixz, 39131787, 18454950, -1, 701758, 10064490, 313617
HQ-GhostBag, 5318090, 1342666, 29751, 2039913, 43808958, 43305712
BBQ-Ptolemus, 24532797, 4234640, -1, -1, 60772570, 36799907
HQ_RenegadeWar, 23229133, 15814828, 6647, 697229, 40261647, 4715838
BigBonsai, 4137805, 1442286, 6990, 3309439, 63183927, 5994954
HQ_KyrieForMVP_, 21412958, 18054163, 245027, 3574180, 23870257, 20444498
HQ_Noypirixz, 2332427, -1, -1, 601196, 37941149, 7982159
HQ_RixzismyIdol, 3490782, 716170, 197463, 246176, 5497901, 5449882
HQ_Methos, 12719480, 9005231, -1, 309853, 12867215, 8911727
HQ_t-weed-y, 49778399, 31442929, -1, 1513279, 26856135, 44402980
HQ_BAGINURFACE, 10575882, 5435724, 333645, 2755470, 15024762, 11449686
HQJimi_HendRIXZ, 11109108, 9038177, 1050483, 4145058, 14529673, 1856021
HQ_Steel, 11686713, 10763665, -1, -1, 6880653, 2277337
HQ_MrRodgers, 5536123, 2841883, 635868, 2054524, 7672707, 7965612
HQ_falco, 1368403, -1, -1, 597900, 10232477, 7307232
HQ_Pantera, 8592949, 38512, 330873, 2505515, 29772464, 10105830
HQ_iSAAAY, 4618962, 3617348, 1434893, 3156414, 10556781, 13929635
HQ_finish, 6562820, 12360171, 2056, 934819, 15841139, 10991679
HQ_bigbanana, 1528267, 5699, 858702, 854807, 17386149, 5959281
HQ_Kukuchi, 6994492, 11250245, -1, 405153, 9317697, 2912028
HQ_RedDevil, 3012960, 1376928, 505684, 651057, 38224955, 5442622
HQ_Frank_White, 11555195, 3673901, -1, 1167153, 22333140, 13678776
HQ_DerJoker, 2207282, 2608933, 9446, 228566, 7996851, 12746600.226722
TheOtherCage, 2937886, 2132004, 149, -1, 2161238, 19061367
HQ_UNSULLIED, 3551082, 2286356, 2251353, 4462437, 18596899, 3955684
MrRaLpH, 9249906, 1396030, 2588120, 4561952, 48883461, -1
HQ-MaveRixz, 1842548, 841644, 2340844, 5301860, 12906405, 6924378
HQ_Misfit, 5582357, 6453912, 509429, 1161716, 12555194, -1
AL, 9615528, 6448531, 188814, 1396008, 17623243, 6408803
HQ_BigB, 4402824, 3409994, 221919, 872466, 8860145, 5547283
Saints-DGAF, 1134560, -1, -1, 794577, 8375021, -1
HQ-Steve, 6173835, 5418848, 253793, 670569, 5519947, 700011
HQ_270deadly, 10621251, 4475607, 889950, 1224736, 9683916, 365731
HQ-HD, 4864873, 1723756, 3555, 89, 22311800, 1008863
HQ_Random, 4376092, -1, -1, 685298, 9778360, -1
HQ_serial_bper, 1010293, 793123, -1, 1141852, 1293301, -1
HQ-BLACK, 8301691, 5767372, 208, 1352, 9864585, 768258
HQ-AM-KILLER, 913358, 808722, -1, 80771, 3881033, 553428
Hq_dangerman2, 55300, 307936, 1199, 775, 3733317, 2755960
BobaFett, 3331431, 441190, -1, -1, 4014385, 1842394
MedEvil, 3491278, 168993, -1, 18000, 4805487, -1
HQ_Rellik, 1763462, -1, -1, -1, 2250721, -1
HQ_SPACECAKE, 347262, 281329, -1, 19185, 3211746, -1
HQ_BASTARD, 1293768, 277501, -1, -1, 1469117, -1
